"Symbol";"Company";"Sector";"Subsector"
"DRHKF";"1&1 AG";"Communication Services";"Telecommunication Services"
"ATTY";"1-800-Attorney Inc";"Industrials";"Business Services"
"FLWS";"1-800-Flowers.com Inc";"Consumer Cyclical";"Retail - Cyclical"
"VCVCU";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services"
"VCVC";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services"
"VCVCW";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services"
"VCXAU";"10X Capital Venture Acquisition Corp II";"Financial Services";"Diversified Financial Services"
"TXG";"10x Genomics Inc";"Healthcare";"Healthcare Providers & Services"
"TLGAF";"11 88 0 Solutions AG";"Communication Services";"Telecommunication Services"
"YI";"111 Inc";"Healthcare";"Healthcare Providers & Services"
"SVNTF";"12 Exploration Inc";"Basic Materials";"Metals & Mining"
"RETC";"12 Retech Corp";"Technology";"Software"
"YSGG";"1399 Internet Technology Application Group Inc";"Consumer Cyclical";"Personal Services"
"ONCP";"141 Capital Inc";"Financial Services";"Capital Markets"
"YQ";"17 Education & Technology Group Inc";"Consumer Defensive";"Education"
"TURN";"180 Degree Capital Corp";"Financial Services";"Asset Management"
"ATNF";"180 Life Sciences Corp";"Healthcare";"Biotechnology"
"ATNFW";"180 Life Sciences Corp";"Healthcare";"Biotechnology"
"KEGS";"1812 Brewing Company Inc";"Financial Services";"Asset Management"
"GOED";"1847 Goedeker Inc";"Consumer Cyclical";"Retail - Cyclical"
"EFSH";"1847 Holdings LLC";"Industrials";"Conglomerates"
"WFCL";"1867 Western Financial Corp";"Financial Services";"Banks"
"BCOW";"1895 Bancorp of Wisconsin Inc";"Financial Services";"Banks"
"AUMBF";"1911 Gold Corp";"Basic Materials";"Metals & Mining"
"TGIFF";"1933 Industries Inc";"Healthcare";"Drug Manufacturers"
"ONEM";"1Life Healthcare Inc";"Healthcare";"Healthcare Providers & Services"
"OPMZ";"1PM Industries Inc";"Consumer Defensive";"Consumer Packaged Goods"
"FISB";"1st Cap Bancorp";"Financial Services";"Banks"
"FCTY";"1st Century Bancshrs Inc";"Financial Services";"Banks"
"FCOB";"1st Colonial Bancorp Inc";"Financial Services";"Banks"
"FCCY";"1st Constitution Bancorp";"Financial Services";"Banks"
"FNRC";"1st NRG Corp";"Energy";"Oil & Gas"
"SRCE";"1st Source Corp";"Financial Services";"Banks"
"FSMK";"1st Summit Bancorp Johnstown Inc";"Financial Services";"Banks"
"DIBS";"1stdibs.com Inc";"Consumer Cyclical";"Retail - Cyclical"
"VNET";"21Vianet Group Inc";"Technology";"Software"
"AIIFF";"2242749 Ontario Ltd";"Industrials";"Construction"
"XXII";"22nd Century Group Inc";"Healthcare";"Drug Manufacturers"
"ME";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research"
"MEUSW";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research"
"TWFH";"24Holdings Inc";"Industrials";"Conglomerates"
"TFSVF";"24SevenOffice Group AB";"Technology";"Software"
"ADERU";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services"
"ADER";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services"
"ADERW";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services"
"ZGBEF";"2G Energy AG";"Industrials";"Industrial Products"
"SYGWF";"2invest AG";"Healthcare";"Drug Manufacturers"
"FBSBF";"2invest AG";"Healthcare";"Drug Manufacturers"
"TWOU";"2U Inc";"Consumer Defensive";"Education"
"SAYFF";"3 Sixty Risk Solutions Ltd";"Industrials";"Business Services"
"DMTRF";"3-D Matrix Ltd";"Healthcare";"Medical Devices & Instruments"
"TDCH";"30DC Inc";"Technology";"Software"
"QFIN";"360 DigiTech Inc";"Financial Services";"Credit Services"
"TSIOF";"361 Degrees International Ltd";"Consumer Cyclical";"Travel & Leisure"
"KRKR";"36KR Holdings Inc";"Communication Services";"Interactive Media"
"HHHEF";"37 Capital Inc";"Basic Materials";"Metals & Mining"
"SCWO";"374Water Inc";"Industrials";"Industrial Products"
"TCCC";"3CI Complete Compliance Corp";"Industrials";"Waste Management"
"TOILF";"3D Oil Ltd";"Energy";"Oil & Gas"
"DPSM";"3D Pioneer Systems Inc";"Technology";"Hardware"
"DDD";"3D Systems Corp";"Technology";"Hardware"
"THDS";"3Dshopping.com Inc";"Technology";"Software"
"DDDX";"3DX Industries Inc";"Technology";"Hardware"
"TGOPF";"3i Group PLC";"Financial Services";"Asset Management"
"TGOPY";"3i Group PLC";"Financial Services";"Asset Management"
"MMM";"3M Co";"Industrials";"Industrial Products"
"PSPW";"3Power Energy Group Inc";"Utilities";"Utilities - Independent Power Producers"
"TRSBF";"3SBio Inc";"Healthcare";"Biotechnology"
"FTPM";"420 Property Management Inc";"Real Estate";"Real Estate"
"NCNNF";"48North Cannabis Corp";"Healthcare";"Drug Manufacturers"
"FNINF";"49 North Resources Inc";"Financial Services";"Asset Management"
"CATV";"4Cable TV International Inc";"Communication Services";"Media - Diversified"
"FDMT";"4D Molecular Therapeutics Inc";"Healthcare";"Biotechnology"
"FRPRF";"4d pharma PLC";"Healthcare";"Biotechnology"
"LBPS";"4d pharma PLC";"Healthcare";"Biotechnology"
"LBPSW";"4d pharma PLC";"Healthcare";"Biotechnology"
"FDMDF";"4DMedical Ltd";"Healthcare";"Medical Devices & Instruments"
"FRDSF";"4DS Memory Ltd";"Technology";"Semiconductors"
"FFNTF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers"
"FFVWF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers"
"FUNWF";"4Fun Media SA";"Communication Services";"Media - Diversified"
"FOREY";"4imprint Group PLC";"Communication Services";"Media - Diversified"
"FOURQ";"4Licensing Corp";"Industrials";"Business Services"
"FSCGF";"4SC AG";"Healthcare";"Biotechnology"
"JOBS";"51job Inc";"Industrials";"Business Services"
"WUBA";"58.com Inc";"Communication Services";"Interactive Media"
"FVAM";"5:01 Acquisition Corp";"Financial Services";"Diversified Financial Services"
"BARZ";"5Barz International Inc";"Technology";"Hardware"
"FNGWF";"5G Networks Ltd";"Communication Services";"Telecommunication Services"
"FPLSF";"5N Plus Inc";"Basic Materials";"Chemicals"
"SIXD";"6D Global Technologies Inc";"Technology";"Software"
"SVNJ";"727 Communications Inc";"Financial Services";"Asset Management"
"SVNTF";"79North Inc";"Basic Materials";"Metals & Mining"
"SCPKF";"7C Solarparken AG";"Technology";"Semiconductors"
"VIIAU";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services"
"VII";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services"
"VIIAW";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services"
"EIGH";"8000 Inc";"Industrials";"Business Services"
"RNWR";"808 Renewable Energy Corp";"Utilities";"Utilities - Independent Power Producers"
"EEENF";"88 Energy Ltd";"Energy";"Oil & Gas"
"TNGRY";"88 Energy Ltd";"Energy";"Oil & Gas"
"EIHDF";"888 Holdings PLC";"Consumer Cyclical";"Travel & Leisure"
"ENFAU";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services"
"ENFA";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services"
"ENFAW";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services"
"ETNB";"89bio Inc";"Healthcare";"Biotechnology"
"JFKKU";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services"
"JFK";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services"
"CAFD";"8point3 Energy Partners LP";"Utilities";"Utilities - Independent Power Producers"
"EGHT";"8x8 Inc";"Technology";"Software"
"NMTR";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology"
"INNTW";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology"
"MASS";"908 Devices Inc";"Healthcare";"Medical Devices & Instruments"
"NNCT";"99 Cent Stuff Inc";"Consumer Defensive";"Retail - Defensive"
"JFU";"9F Inc";"Technology";"Software"
"ANTQ";"A A Importing Inc Co";"Consumer Cyclical";"Retail - Cyclical"
"AISSF";"A I S Resources Ltd";"Basic Materials";"Metals & Mining"
"AWRRF";"A&W Revenue Royalties Income Fund";"Consumer Cyclical";"Restaurants"
"APCDF";"A-Cap Energy Ltd";"Basic Materials";"Metals & Mining"
"AMRK";"A-Mark Precious Metals Inc";"Financial Services";"Capital Markets"
"ASNCF";"A-Sonic Aerospace Ltd";"Industrials";"Transportation"
"AMKAF";"A. P. Moller Maersk A/S";"Industrials";"Transportation"
"AMKBF";"A. P. Moller Maersk A/S";"Industrials";"Transportation"
"AMKBY";"A. P. Moller Maersk A/S";"Industrials";"Transportation"
"SRIOF";"A. Soriano Corp";"Industrials";"Business Services"
"ARRMF";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel"
"OSTLY";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel"
"CTAM";"A.M. Castle & Co";"Industrials";"Industrial Distribution"
"AOS";"A.O. Smith Corp";"Industrials";"Industrial Products"
"ASRAF";"A.S. Roma SpA";"Consumer Cyclical";"Travel & Leisure"
"AWON";"A1 Group Inc";"Consumer Cyclical";"Retail - Cyclical"
"ATEN";"A10 Networks Inc";"Technology";"Software"
"AEMMF";"A2A SpA";"Utilities";"Utilities - Regulated"
"AEMMY";"A2A SpA";"Utilities";"Utilities - Regulated"
"CBRGF";"A2B Australia Ltd";"Technology";"Software"
