"Symbol";"Company";"Sector";"Subsector";"Price"
"DRHKF";"1&1 AG";"Communication Services";"Telecommunication Services";"39.44"
"ATTY";"1-800-Attorney Inc";"Industrials";"Business Services";"0"
"FLWS";"1-800-Flowers.com Inc";"Consumer Cyclical";"Retail - Cyclical";"32.3"
"VCVCU";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"11.15"
"VCVC";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.85"
"VCVCW";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"1.65"
"VCXAU";"10X Capital Venture Acquisition Corp II";"Financial Services";"Diversified Financial Services";"10.02"
"TXG";"10x Genomics Inc";"Healthcare";"Healthcare Providers & Services";"173.75"
"TLGAF";"11 88 0 Solutions AG";"Communication Services";"Telecommunication Services";"1.22"
"YI";"111 Inc";"Healthcare";"Healthcare Providers & Services";"6.33"
"SVNTF";"12 Exploration Inc";"Basic Materials";"Metals & Mining";"0.1"
"RETC";"12 Retech Corp";"Technology";"Software";"0"
"YSGG";"1399 Internet Technology Application Group Inc";"Consumer Cyclical";"Personal Services";"0.66"
"ONCP";"141 Capital Inc";"Financial Services";"Capital Markets";"0"
"YQ";"17 Education & Technology Group Inc";"Consumer Defensive";"Education";"1.1"
"TURN";"180 Degree Capital Corp";"Financial Services";"Asset Management";"7.34"
"ATNF";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"5.43"
"ATNFW";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"1.11"
"KEGS";"1812 Brewing Company Inc";"Financial Services";"Asset Management";"0.01"
"GOED";"1847 Goedeker Inc";"Consumer Cyclical";"Retail - Cyclical";"2.75"
"EFSH";"1847 Holdings LLC";"Industrials";"Conglomerates";"2"
"WFCL";"1867 Western Financial Corp";"Financial Services";"Banks";"8000"
"BCOW";"1895 Bancorp of Wisconsin Inc";"Financial Services";"Banks";"10.96"
"AUMBF";"1911 Gold Corp";"Basic Materials";"Metals & Mining";"0.26"
"TGIFF";"1933 Industries Inc";"Healthcare";"Drug Manufacturers";"0.07"
"ONEM";"1Life Healthcare Inc";"Healthcare";"Healthcare Providers & Services";"24.61"
"OPMZ";"1PM Industries Inc";"Consumer Defensive";"Consumer Packaged Goods";"0"
"FISB";"1st Cap Bancorp";"Financial Services";"Banks";"13.73"
"FCTY";"1st Century Bancshrs Inc";"Financial Services";"Banks";"11.22"
"FCOB";"1st Colonial Bancorp Inc";"Financial Services";"Banks";"9.7"
"FCCY";"1st Constitution Bancorp";"Financial Services";"Banks";"22.11"
"FNRC";"1st NRG Corp";"Energy";"Oil & Gas";"0"
"SRCE";"1st Source Corp";"Financial Services";"Banks";"46.73"
"FSMK";"1st Summit Bancorp Johnstown Inc";"Financial Services";"Banks";"132.5"
"DIBS";"1stdibs.com Inc";"Consumer Cyclical";"Retail - Cyclical";"16.74"
"VNET";"21Vianet Group Inc";"Technology";"Software";"18.76"
"AIIFF";"2242749 Ontario Ltd";"Industrials";"Construction";"0"
"XXII";"22nd Century Group Inc";"Healthcare";"Drug Manufacturers";"3.46"
"ME";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";"8.68"
"MEUSW";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";"1.61"
"TWFH";"24Holdings Inc";"Industrials";"Conglomerates";"0"
"TFSVF";"24SevenOffice Group AB";"Technology";"Software";"3.22"
"ADERU";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.05"
"ADER";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.66"
"ADERW";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";"0.95"
"ZGBEF";"2G Energy AG";"Industrials";"Industrial Products";"84"
"SYGWF";"2invest AG";"Healthcare";"Drug Manufacturers";"1.2"
"FBSBF";"2invest AG";"Healthcare";"Drug Manufacturers";"15.5"
"TWOU";"2U Inc";"Consumer Defensive";"Education";"36.68"
"SAYFF";"3 Sixty Risk Solutions Ltd";"Industrials";"Business Services";"0"
"DMTRF";"3-D Matrix Ltd";"Healthcare";"Medical Devices & Instruments";"2.56"
"TDCH";"30DC Inc";"Technology";"Software";"0"
"QFIN";"360 DigiTech Inc";"Financial Services";"Credit Services";"21.87"
"TSIOF";"361 Degrees International Ltd";"Consumer Cyclical";"Travel & Leisure";"0.43"
"KRKR";"36KR Holdings Inc";"Communication Services";"Interactive Media";"1.67"
"HHHEF";"37 Capital Inc";"Basic Materials";"Metals & Mining";"0.21"
"SCWO";"374Water Inc";"Industrials";"Industrial Products";"1.88"
"TCCC";"3CI Complete Compliance Corp";"Industrials";"Waste Management";"0"
"TOILF";"3D Oil Ltd";"Energy";"Oil & Gas";"0.04"
"DPSM";"3D Pioneer Systems Inc";"Technology";"Hardware";"2.06"
"DDD";"3D Systems Corp";"Technology";"Hardware";"30.13"
"THDS";"3Dshopping.com Inc";"Technology";"Software";"0.18"
"DDDX";"3DX Industries Inc";"Technology";"Hardware";"0.09"
"TGOPF";"3i Group PLC";"Financial Services";"Asset Management";"8.15"
"TGOPY";"3i Group PLC";"Financial Services";"Asset Management";"8.79"
"MMM";"3M Co";"Industrials";"Industrial Products";"196.17"
"PSPW";"3Power Energy Group Inc";"Utilities";"Utilities - Independent Power Producers";"0.08"
"TRSBF";"3SBio Inc";"Healthcare";"Biotechnology";NA
"FTPM";"420 Property Management Inc";"Real Estate";"Real Estate";"0"
"NCNNF";"48North Cannabis Corp";"Healthcare";"Drug Manufacturers";"0.06"
"FNINF";"49 North Resources Inc";"Financial Services";"Asset Management";"0.05"
"CATV";"4Cable TV International Inc";"Communication Services";"Media - Diversified";"0.01"
"FDMT";"4D Molecular Therapeutics Inc";"Healthcare";"Biotechnology";"30.35"
"FRPRF";"4d pharma PLC";"Healthcare";"Biotechnology";"1.21"
"LBPS";"4d pharma PLC";"Healthcare";"Biotechnology";"10.03"
"LBPSW";"4d pharma PLC";"Healthcare";"Biotechnology";"1.04"
"FDMDF";"4DMedical Ltd";"Healthcare";"Medical Devices & Instruments";"1.3"
"FRDSF";"4DS Memory Ltd";"Technology";"Semiconductors";"0.15"
"FFNTF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";"1.05"
"FFVWF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";"0.35"
"FUNWF";"4Fun Media SA";"Communication Services";"Media - Diversified";"1.84"
"FOREY";"4imprint Group PLC";"Communication Services";"Media - Diversified";"47.31"
"FOURQ";"4Licensing Corp";"Industrials";"Business Services";"0"
"FSCGF";"4SC AG";"Healthcare";"Biotechnology";"5.3"
"JOBS";"51job Inc";"Industrials";"Business Services";"75.28"
"WUBA";"58.com Inc";"Communication Services";"Interactive Media";"55.88"
"FVAM";"5:01 Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.87"
"BARZ";"5Barz International Inc";"Technology";"Hardware";"0"
"FNGWF";"5G Networks Ltd";"Communication Services";"Telecommunication Services";"0.76"
"FPLSF";"5N Plus Inc";"Basic Materials";"Chemicals";"2.25"
"SIXD";"6D Global Technologies Inc";"Technology";"Software";"0.15"
"SVNJ";"727 Communications Inc";"Financial Services";"Asset Management";"0.99"
"SVNTF";"79North Inc";"Basic Materials";"Metals & Mining";"0.1"
"SCPKF";"7C Solarparken AG";"Technology";"Semiconductors";"6"
"VIIAU";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"9.9"
"VII";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"9.65"
"VIIAW";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";"0.6"
"EIGH";"8000 Inc";"Industrials";"Business Services";"0"
"RNWR";"808 Renewable Energy Corp";"Utilities";"Utilities - Independent Power Producers";"0.19"
"EEENF";"88 Energy Ltd";"Energy";"Oil & Gas";"0.03"
"TNGRY";"88 Energy Ltd";"Energy";"Oil & Gas";"0.02"
"EIHDF";"888 Holdings PLC";"Consumer Cyclical";"Travel & Leisure";"5.65"
"ENFAU";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"10.23"
"ENFA";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"9.87"
"ENFAW";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";"1.16"
"ETNB";"89bio Inc";"Healthcare";"Biotechnology";"20.03"
"JFKKU";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";"10.8"
"JFK";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";"9"
"CAFD";"8point3 Energy Partners LP";"Utilities";"Utilities - Independent Power Producers";"12.42"
"EGHT";"8x8 Inc";"Technology";"Software";"24.02"
"NMTR";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";"1.25"
"INNTW";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";"0.14"
"MASS";"908 Devices Inc";"Healthcare";"Medical Devices & Instruments";"36.86"
"NNCT";"99 Cent Stuff Inc";"Consumer Defensive";"Retail - Defensive";"0.01"
"JFU";"9F Inc";"Technology";"Software";"1.99"
"ANTQ";"A A Importing Inc Co";"Consumer Cyclical";"Retail - Cyclical";"0.02"
"AISSF";"A I S Resources Ltd";"Basic Materials";"Metals & Mining";"0.05"
"AWRRF";"A&W Revenue Royalties Income Fund";"Consumer Cyclical";"Restaurants";"29.51"
"APCDF";"A-Cap Energy Ltd";"Basic Materials";"Metals & Mining";"0.03"
"AMRK";"A-Mark Precious Metals Inc";"Financial Services";"Capital Markets";"48.58"
"ASNCF";"A-Sonic Aerospace Ltd";"Industrials";"Transportation";"0.24"
"AMKAF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"2596"
"AMKBF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"2782.35"
"AMKBY";"A. P. Moller Maersk A/S";"Industrials";"Transportation";"14.57"
"SRIOF";"A. Soriano Corp";"Industrials";"Business Services";"0.13"
"ARRMF";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel";"0"
"OSTLY";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel";"0.3"
"CTAM";"A.M. Castle & Co";"Industrials";"Industrial Distribution";"5.5"
"AOS";"A.O. Smith Corp";"Industrials";"Industrial Products";"72.94"
"ASRAF";"A.S. Roma SpA";"Consumer Cyclical";"Travel & Leisure";"0.6"
"AWON";"A1 Group Inc";"Consumer Cyclical";"Retail - Cyclical";"0.02"
"ATEN";"A10 Networks Inc";"Technology";"Software";"14.06"
"AEMMF";"A2A SpA";"Utilities";"Utilities - Regulated";"1.05"
"AEMMY";"A2A SpA";"Utilities";"Utilities - Regulated";"10"
"CBRGF";"A2B Australia Ltd";"Technology";"Software";"1.98"
"CGAAY";"A2B Australia Ltd";"Technology";"Software";"1.81"
"AAZZD";"A2Z Smart Technologies Corp";"Industrials";"Aerospace & Defense";"5.24"
"AATDF";"AA PLC";"Consumer Cyclical";"Personal Services";"0.4"
"AAAG";"AAA Century Group USA Inc";"Financial Services";"Capital Markets";"0.42"
"ACCMF";"AAC Clyde Space AB";"Technology";"Hardware";"0.36"
"AACH";"AAC Holdings Inc";"Healthcare";"Healthcare Providers & Services";"0.03"
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5.42"
"AACAY";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5.45"
"AAGEF";"AAG Energy Holdings Ltd";"Energy";"Oil & Gas";"0.17"
"ARHUF";"AAK AB";"Consumer Defensive";"Consumer Packaged Goods";"18.75"
"AAIDY";"Aalberts NV";"Industrials";"Industrial Products";"1.69"
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";"61.55"
"AAXT";"Aamaxan Transport Group Inc";"Financial Services";"Diversified Financial Services";"0"
"AAON";"AAON Inc";"Industrials";"Construction";"69.2"
"AAPJ";"AAP Inc";"Technology";"Hardware";"0.07"
"AAHTF";"Aapico Hitech PLC";"Consumer Cyclical";"Vehicles & Parts";"0.53"
"AIR";"AAR Corp";"Industrials";"Aerospace & Defense";"33.8"
"AAALF";"Aareal Bank AG";"Financial Services";"Banks";"24.5"
"AAALY";"Aareal Bank AG";"Financial Services";"Banks";"27.78"
"ABTBF";"AB Biotics";"Healthcare";"Biotechnology";"1.75"
"ABDDF";"AB Dynamics PLC";"Consumer Cyclical";"Vehicles & Parts";"31.28"
"ABQQ";"AB International Group Corp";"Technology";"Software";"0.04"
"ABSCF";"AB Science";"Healthcare";"Drug Manufacturers";"16.83"
"ABTO";"AB&T Financial Corp";"Financial Services";"Banks";"0.6"
"OXFSF";"Abaco Capital PLC";"Financial Services";"Asset Management";"0.21"
"ABCFF";"Abacus Mining & Exploration Corp";"Basic Materials";"Metals & Mining";"0.1"
"ABPPF";"Abacus Property Group";"Real Estate";"REITs";"1.98"
"ABKI";"Abakan Inc";"Basic Materials";"Chemicals";"0"
"NCGOF";"Abanca Corporacion Bancaria SA";"Financial Services";"Banks";"0.77"
"ATTBF";"Abattis Bioceuticals Corp";"Healthcare";"Drug Manufacturers";"0.01"
