"Symbol";"Company";"Sector";"Subsector";"Price";"Country"
"DRHKF";"1&1 AG";"Communication Services";"Telecommunication Services";"39.44";"Germany"
"FLWS";"1-800-Flowers.com Inc";"Consumer Cyclical";"Retail - Cyclical";"32.3";"USA"
"VCVCU";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"11.15";"USA"
"VCVC";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"9.85";"USA"
"VCVCW";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";"1.65";"USA"
"VCXAU";"10X Capital Venture Acquisition Corp II";"Financial Services";"Diversified Financial Services";"10.02";"USA"
"TXG";"10x Genomics Inc";"Healthcare";"Healthcare Providers & Services";"173.75";"USA"
"TLGAF";"11 88 0 Solutions AG";"Communication Services";"Telecommunication Services";"1.22";"Germany"
"YI";"111 Inc";"Healthcare";"Healthcare Providers & Services";"6.33";"China"
"SVNTF";"12 Exploration Inc";"Basic Materials";"Metals & Mining";"0.1";"Canada"
"YSGG";"1399 Internet Technology Application Group Inc";"Consumer Cyclical";"Personal Services";"0.66";"USA"
"YQ";"17 Education & Technology Group Inc";"Consumer Defensive";"Education";"1.1";"China"
"TURN";"180 Degree Capital Corp";"Financial Services";"Asset Management";"7.34";"USA"
"ATNF";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"5.43";"USA"
"ATNFW";"180 Life Sciences Corp";"Healthcare";"Biotechnology";"1.11";"USA"
"KEGS";"1812 Brewing Company Inc";"Financial Services";"Asset Management";"0.01";"USA"
"GOED";"1847 Goedeker Inc";"Consumer Cyclical";"Retail - Cyclical";"2.75";"USA"
"EFSH";"1847 Holdings LLC";"Industrials";"Conglomerates";"2";"USA"
"WFCL";"1867 Western Financial Corp";"Financial Services";"Banks";"8000";"USA"
"BCOW";"1895 Bancorp of Wisconsin Inc";"Financial Services";"Banks";"10.96";"USA"
"AUMBF";"1911 Gold Corp";"Basic Materials";"Metals & Mining";"0.26";"Canada"
"TGIFF";"1933 Industries Inc";"Healthcare";"Drug Manufacturers";"0.07";"Canada"
"ONEM";"1Life Healthcare Inc";"Healthcare";"Healthcare Providers & Services";"24.61";"USA"
"FISB";"1st Cap Bancorp";"Financial Services";"Banks";"13.73";"USA"
"FCTY";"1st Century Bancshrs Inc";"Financial Services";"Banks";"11.22";"USA"
"FCOB";"1st Colonial Bancorp Inc";"Financial Services";"Banks";"9.7";"USA"
"FCCY";"1st Constitution Bancorp";"Financial Services";"Banks";"22.11";"USA"
"SRCE";"1st Source Corp";"Financial Services";"Banks";"46.73";"USA"
