"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume"
"DRHKF";"1&1 AG";"Communication Services";"Telecommunication Services";39,44;"Germany";0
"FLWS";"1-800-Flowers.com Inc";"Consumer Cyclical";"Retail - Cyclical";32,3;"USA";501347
"VCVCU";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";11,15;"USA";20358
"VCVC";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";9,85;"USA";605005
"VCVCW";"10X Capital Venture Acquisition Corp";"Financial Services";"Diversified Financial Services";1,65;"USA";0
"VCXAU";"10X Capital Venture Acquisition Corp II";"Financial Services";"Diversified Financial Services";10,02;"USA";0
"TXG";"10x Genomics Inc";"Healthcare";"Healthcare Providers & Services";173,75;"USA";541210
"TLGAF";"11 88 0 Solutions AG";"Communication Services";"Telecommunication Services";1,22;"Germany";0
"YI";"111 Inc";"Healthcare";"Healthcare Providers & Services";6,33;"China";383317
"SVNTF";"12 Exploration Inc";"Basic Materials";"Metals & Mining";0,1;"Canada";0
"YSGG";"1399 Internet Technology Application Group Inc";"Consumer Cyclical";"Personal Services";0,66;"USA";594
"YQ";"17 Education & Technology Group Inc";"Consumer Defensive";"Education";1,1;"China";3063034
"TURN";"180 Degree Capital Corp";"Financial Services";"Asset Management";7,34;"USA";24050
"ATNF";"180 Life Sciences Corp";"Healthcare";"Biotechnology";5,43;"USA";602308
"ATNFW";"180 Life Sciences Corp";"Healthcare";"Biotechnology";1,11;"USA";0
"KEGS";"1812 Brewing Company Inc";"Financial Services";"Asset Management";0,01;"USA";746198
"GOED";"1847 Goedeker Inc";"Consumer Cyclical";"Retail - Cyclical";2,75;"USA";4713957
"EFSH";"1847 Holdings LLC";"Industrials";"Conglomerates";2;"USA";1685
"WFCL";"1867 Western Financial Corp";"Financial Services";"Banks";8000;"USA";32
"BCOW";"1895 Bancorp of Wisconsin Inc";"Financial Services";"Banks";10,96;"USA";34312
"AUMBF";"1911 Gold Corp";"Basic Materials";"Metals & Mining";0,26;"Canada";31125
"TGIFF";"1933 Industries Inc";"Healthcare";"Drug Manufacturers";0,07;"Canada";395544
"ONEM";"1Life Healthcare Inc";"Healthcare";"Healthcare Providers & Services";24,61;"USA";1228430
"FISB";"1st Cap Bancorp";"Financial Services";"Banks";13,73;"USA";3155
"FCTY";"1st Century Bancshrs Inc";"Financial Services";"Banks";11,22;"USA";NA
"FCOB";"1st Colonial Bancorp Inc";"Financial Services";"Banks";9,7;"USA";5457
"FCCY";"1st Constitution Bancorp";"Financial Services";"Banks";22,11;"USA";46177
"SRCE";"1st Source Corp";"Financial Services";"Banks";46,73;"USA";46013
"FSMK";"1st Summit Bancorp Johnstown Inc";"Financial Services";"Banks";132,5;"USA";0
"DIBS";"1stdibs.com Inc";"Consumer Cyclical";"Retail - Cyclical";16,74;"USA";249837
"VNET";"21Vianet Group Inc";"Technology";"Software";18,76;"China";1818325
"XXII";"22nd Century Group Inc";"Healthcare";"Drug Manufacturers";3,46;"USA";1855937
"ME";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";8,68;"USA";1829317
"MEUSW";"23andMe Holding Co";"Healthcare";"Medical Diagnostics & Research";1,61;"USA";0
"TFSVF";"24SevenOffice Group AB";"Technology";"Software";3,22;"Norway";9248
"ADERU";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";10,05;"USA";111223
"ADER";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";9,66;"USA";52116
"ADERW";"26 Capital Acquisition Corp";"Financial Services";"Diversified Financial Services";0,95;"USA";0
"ZGBEF";"2G Energy AG";"Industrials";"Industrial Products";84;"Germany";0
"SYGWF";"2invest AG";"Healthcare";"Drug Manufacturers";1,2;"Germany";0
"FBSBF";"2invest AG";"Healthcare";"Drug Manufacturers";15,5;"Germany";1115
"TWOU";"2U Inc";"Consumer Defensive";"Education";36,68;"USA";903928
"DMTRF";"3-D Matrix Ltd";"Healthcare";"Medical Devices & Instruments";2,56;"Japan";747
"QFIN";"360 DigiTech Inc";"Financial Services";"Credit Services";21,87;"China";3672564
"TSIOF";"361 Degrees International Ltd";"Consumer Cyclical";"Travel & Leisure";0,43;"China";3009
"KRKR";"36KR Holdings Inc";"Communication Services";"Interactive Media";1,67;"China";121873
"HHHEF";"37 Capital Inc";"Basic Materials";"Metals & Mining";0,21;"Canada";2096
"SCWO";"374Water Inc";"Industrials";"Industrial Products";1,88;"USA";9511
"TOILF";"3D Oil Ltd";"Energy";"Oil & Gas";0,04;"Australia";0
"DPSM";"3D Pioneer Systems Inc";"Technology";"Hardware";2,06;"USA";864
"DDD";"3D Systems Corp";"Technology";"Hardware";30,13;"USA";4121044
"THDS";"3Dshopping.com Inc";"Technology";"Software";0,18;"USA";23905
"DDDX";"3DX Industries Inc";"Technology";"Hardware";0,09;"USA";191830
"TGOPF";"3i Group PLC";"Financial Services";"Asset Management";8,15;"UK";0
"TGOPY";"3i Group PLC";"Financial Services";"Asset Management";8,79;"UK";6718
"MMM";"3M Co";"Industrials";"Industrial Products";196,17;"USA";2131405
"PSPW";"3Power Energy Group Inc";"Utilities";"Utilities - Independent Power Producers";0,08;"United Arab Emirates";39791
"NCNNF";"48North Cannabis Corp";"Healthcare";"Drug Manufacturers";0,06;"Canada";33425
"FNINF";"49 North Resources Inc";"Financial Services";"Asset Management";0,05;"Canada";11920
"CATV";"4Cable TV International Inc";"Communication Services";"Media - Diversified";0,01;"USA";31332967
"FDMT";"4D Molecular Therapeutics Inc";"Healthcare";"Biotechnology";30,35;"USA";103517
"FRPRF";"4d pharma PLC";"Healthcare";"Biotechnology";1,21;"UK";15724
"LBPS";"4d pharma PLC";"Healthcare";"Biotechnology";10,03;"UK";21924
"LBPSW";"4d pharma PLC";"Healthcare";"Biotechnology";1,04;"UK";0
"FDMDF";"4DMedical Ltd";"Healthcare";"Medical Devices & Instruments";1,3;"Australia";0
"FRDSF";"4DS Memory Ltd";"Technology";"Semiconductors";0,15;"Australia";0
"FFNTF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";1,05;"USA";430481
"FFVWF";"4Front Ventures Corp";"Healthcare";"Drug Manufacturers";0,35;"USA";0
"FUNWF";"4Fun Media SA";"Communication Services";"Media - Diversified";1,84;"Poland";0
"FOREY";"4imprint Group PLC";"Communication Services";"Media - Diversified";47,31;"UK";0
"FSCGF";"4SC AG";"Healthcare";"Biotechnology";5,3;"Germany";0
"JOBS";"51job Inc";"Industrials";"Business Services";75,28;"China";444877
"WUBA";"58.com Inc";"Communication Services";"Interactive Media";55,88;"China";0
"FVAM";"5:01 Acquisition Corp";"Financial Services";"Diversified Financial Services";9,87;"USA";21800
"FNGWF";"5G Networks Ltd";"Communication Services";"Telecommunication Services";0,76;"Australia";12027
"FPLSF";"5N Plus Inc";"Basic Materials";"Chemicals";2,25;"Canada";2257
"SIXD";"6D Global Technologies Inc";"Technology";"Software";0,15;"USA";5667
"SVNJ";"727 Communications Inc";"Financial Services";"Asset Management";0,99;"USA";750
"SVNTF";"79North Inc";"Basic Materials";"Metals & Mining";0,1;"Canada";0
"SCPKF";"7C Solarparken AG";"Technology";"Semiconductors";6;"Germany";0
"VIIAU";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";9,9;"USA";37616
"VII";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";9,65;"USA";4644
"VIIAW";"7GC & Co Holdings Inc";"Financial Services";"Diversified Financial Services";0,6;"USA";0
"RNWR";"808 Renewable Energy Corp";"Utilities";"Utilities - Independent Power Producers";0,19;"USA";35601
"EEENF";"88 Energy Ltd";"Energy";"Oil & Gas";0,03;"Australia";155464627
"TNGRY";"88 Energy Ltd";"Energy";"Oil & Gas";0,02;"Australia";0
"ENFAU";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";10,23;"USA";89608
"ENFA";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";9,87;"USA";119435
"ENFAW";"890 5th Avenue Partners Inc";"Financial Services";"Diversified Financial Services";1,16;"USA";0
"ETNB";"89bio Inc";"Healthcare";"Biotechnology";20,03;"USA";86941
"JFKKU";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";10,8;"Singapore";0
"JFK";"8i Enterprises Acquisition Corp";"Financial Services";"Diversified Financial Services";9;"Singapore";0
"CAFD";"8point3 Energy Partners LP";"Utilities";"Utilities - Independent Power Producers";12,42;"USA";0
"EGHT";"8x8 Inc";"Technology";"Software";24,02;"USA";794463
"NMTR";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";1,25;"USA";2582836
"INNTW";"9 Meters Biopharma Inc";"Healthcare";"Biotechnology";0,14;"USA";27027
"MASS";"908 Devices Inc";"Healthcare";"Medical Devices & Instruments";36,86;"USA";274303
"NNCT";"99 Cent Stuff Inc";"Consumer Defensive";"Retail - Defensive";0,01;"USA";0
"JFU";"9F Inc";"Technology";"Software";1,99;"China";577328
"ANTQ";"A A Importing Inc Co";"Consumer Cyclical";"Retail - Cyclical";0,02;"USA";0
"AISSF";"A I S Resources Ltd";"Basic Materials";"Metals & Mining";0,05;"Canada";57491
"AWRRF";"A&W Revenue Royalties Income Fund";"Consumer Cyclical";"Restaurants";29,51;"Canada";1223
"APCDF";"A-Cap Energy Ltd";"Basic Materials";"Metals & Mining";0,03;"Australia";9329
"AMRK";"A-Mark Precious Metals Inc";"Financial Services";"Capital Markets";48,58;"USA";65986
"ASNCF";"A-Sonic Aerospace Ltd";"Industrials";"Transportation";0,24;"Singapore";0
"AMKAF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";2596;"Denmark";10
"AMKBF";"A. P. Moller Maersk A/S";"Industrials";"Transportation";2782,35;"Denmark";15
"AMKBY";"A. P. Moller Maersk A/S";"Industrials";"Transportation";14,57;"Denmark";109440
"SRIOF";"A. Soriano Corp";"Industrials";"Business Services";0,13;"Philippines";7500
"OSTLY";"A.C.N 004 410 833 Ltd";"Basic Materials";"Steel";0,3;"Australia";0
"CTAM";"A.M. Castle & Co";"Industrials";"Industrial Distribution";5,5;"USA";281
"AOS";"A.O. Smith Corp";"Industrials";"Industrial Products";72,94;"USA";717365
"ASRAF";"A.S. Roma SpA";"Consumer Cyclical";"Travel & Leisure";0,6;"Italy";1407
"AWON";"A1 Group Inc";"Consumer Cyclical";"Retail - Cyclical";0,02;"USA";705217
"ATEN";"A10 Networks Inc";"Technology";"Software";14,06;"USA";578989
"AEMMF";"A2A SpA";"Utilities";"Utilities - Regulated";1,05;"Italy";0
"AEMMY";"A2A SpA";"Utilities";"Utilities - Regulated";10;"Italy";0
"CBRGF";"A2B Australia Ltd";"Technology";"Software";1,98;"Australia";0
"CGAAY";"A2B Australia Ltd";"Technology";"Software";1,81;"Australia";387
"AAZZD";"A2Z Smart Technologies Corp";"Industrials";"Aerospace & Defense";5,24;"Canada";26752
"AATDF";"AA PLC";"Consumer Cyclical";"Personal Services";0,4;"UK";0
"AAAG";"AAA Century Group USA Inc";"Financial Services";"Capital Markets";0,42;"USA";0
"ACCMF";"AAC Clyde Space AB";"Technology";"Hardware";0,36;"Sweden";47697
"AACH";"AAC Holdings Inc";"Healthcare";"Healthcare Providers & Services";0,03;"USA";0
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";5,42;"Hong Kong";3900
"AACAY";"AAC Technologies Holdings Inc";"Technology";"Hardware";5,45;"Hong Kong";73734
"AAGEF";"AAG Energy Holdings Ltd";"Energy";"Oil & Gas";0,17;"Hong Kong";0
"ARHUF";"AAK AB";"Consumer Defensive";"Consumer Packaged Goods";18,75;"Sweden";0
"AAIDY";"Aalberts NV";"Industrials";"Industrial Products";1,69;"Netherlands";0
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";61,55;"Netherlands";1085
"AAON";"AAON Inc";"Industrials";"Construction";69,2;"USA";123136
"AAPJ";"AAP Inc";"Technology";"Hardware";0,07;"USA";55372
"AAHTF";"Aapico Hitech PLC";"Consumer Cyclical";"Vehicles & Parts";0,53;"Thailand";0
"AIR";"AAR Corp";"Industrials";"Aerospace & Defense";33,8;"USA";234560
"AAALF";"Aareal Bank AG";"Financial Services";"Banks";24,5;"Germany";1000
"AAALY";"Aareal Bank AG";"Financial Services";"Banks";27,78;"Germany";0
"ABTBF";"AB Biotics";"Healthcare";"Biotechnology";1,75;"Spain";0
"ABDDF";"AB Dynamics PLC";"Consumer Cyclical";"Vehicles & Parts";31,28;"UK";0
"ABQQ";"AB International Group Corp";"Technology";"Software";0,04;"USA";2295506
"ABSCF";"AB Science";"Healthcare";"Drug Manufacturers";16,83;"France";1406
"ABTO";"AB&T Financial Corp";"Financial Services";"Banks";0,6;"USA";2271
"OXFSF";"Abaco Capital PLC";"Financial Services";"Asset Management";0,21;"UK";0
"ABCFF";"Abacus Mining & Exploration Corp";"Basic Materials";"Metals & Mining";0,1;"Canada";61990
"ABPPF";"Abacus Property Group";"Real Estate";"REITs";1,98;"Australia";0
"NCGOF";"Abanca Corporacion Bancaria SA";"Financial Services";"Banks";0,77;"Spain";0
"ATTBF";"Abattis Bioceuticals Corp";"Healthcare";"Drug Manufacturers";0,01;"Canada";268898
"ABXXF";"Abaxx Technologies Inc";"Technology";"Software";3,05;"Canada";92189
"ABB";"ABB Ltd";"Industrials";"Industrial Products";37,46;"Switzerland";1209059
"ABLZF";"ABB Ltd";"Industrials";"Industrial Products";38,22;"Switzerland";16277
"ABEYF";"Abbey PLC";"Consumer Cyclical";"Homebuilding & Construction";20,74;"Ireland";0
"ABT";"Abbott Laboratories";"Healthcare";"Medical Devices & Instruments";125,94;"USA";4207901
"ABBV";"AbbVie Inc";"Healthcare";"Drug Manufacturers";120,57;"USA";7235133
"ABBY";"Abby Inc";"Communication Services";"Interactive Media";0,01;"USA";366690
"ABCCF";"ABC arbitrage SA";"Financial Services";"Asset Management";8,14;"France";0
"ABCR";"ABC Records Management and Data Storage Inc";"Financial Services";"Diversified Financial Services";0,65;"Hong Kong";0
"AMKYF";"ABC-Mart Inc";"Consumer Cyclical";"Retail - Cyclical";57,75;"Japan";0
"ABCZF";"Abcam PLC";"Healthcare";"Biotechnology";20,73;"UK";664
"ABCM";"Abcam PLC";"Healthcare";"Biotechnology";20,94;"UK";88579
"ABCL";"AbCellera Biologics Inc";"Healthcare";"Biotechnology";17,35;"Canada";1849723
"ABCE";"ABCO Energy Inc";"Technology";"Semiconductors";0,03;"USA";248627
"ABMBF";"Abcourt Mines Inc";"Basic Materials";"Metals & Mining";0,09;"Canada";30311
"ABNAF";"Aben Resources Ltd";"Basic Materials";"Metals & Mining";0,04;"Canada";47709
"ABGBY";"Abengoa SA";"Industrials";"Construction";1,06;"Spain";0
"ABGOF";"Abengoa SA";"Industrials";"Construction";0,04;"Spain";15544
"ABGOY";"Abengoa SA";"Industrials";"Construction";0,15;"Spain";594
"AGOAF";"Abengoa SA";"Industrials";"Construction";0,01;"Spain";20625
"ABEO";"Abeona Therapeutics Inc";"Healthcare";"Biotechnology";1,28;"USA";909744
"ANF";"Abercrombie & Fitch Co";"Consumer Cyclical";"Retail - Cyclical";36,52;"USA";1962232
"FAX";"Aberdeen Asia-pacific Income Fund Inc";"Financial Services";"Asset Management";4,24;"USA";543673
"ABDNF";"Aberdeen Asset Management PLC";"Financial Services";"Asset Management";4,35;"UK";0
"ABE";"Aberdeen Emerging Markets Company Opportunities Fu";"Financial Services";"Asset Management";14,7;"USA";8629
"AEF";"ABERDEEN EMERGING MARKETS EQUITY INCOME FUND, INC.";"Financial Services";"Asset Management";8,67;"USA";37582
"AGD";"Aberdeen Global Dynamic Dividend Fund";"Financial Services";"Asset Management";12,34;"USA";33133
"FCO";"Aberdeen Global Income Fund Inc";"Financial Services";"Asset Management";8,69;"USA";40946
"ASGI";"Aberdeen Global Income Fund Inc";"Financial Services";"Asset Management";20,78;"USA";31264
"AWP";"Aberdeen Global Premier Properties Fund";"Financial Services";"Asset Management";6,7;"USA";277531
"ACP";"Aberdeen Income Credit Strategies Fund";"Financial Services";"Asset Management";11,32;"USA";135100
"ACPPA.PFD";"Aberdeen Income Credit Strategies Fund";"Financial Services";"Asset Management";26,81;"USA";0
"IF";"Aberdeen Indonesia Fund, Inc";"Financial Services";"Asset Management";7,13;"USA";17274
"AABVF";"Aberdeen International Inc";"Financial Services";"Asset Management";0,13;"Canada";9155
