"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021"
"A";"Agilent Technologies Inc";"Healthcare";"Medical Diagnostics & Research";"176,73";"USA";1669991;"3,2";"1.40";"2.10";"0.97";"3.37";"2.30";NA
"AA";"Alcoa Corp";"Basic Materials";"Metals & Mining";"44,05";"USA";7625793;"2,28";"-2.19";"1.49";"1.33";"-6.07";"-0.91";NA
"AAALF";"Aareal Bank AG";"Financial Services";"Banks";"24,5";"Germany";1000;"-1,48";"3.51";"3.79";"3.96";"2.69";"-1.83";NA
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";"5,42";"Hong Kong";3900;"0,19";"0.47";"0.66";"0.45";"0.26";"0.19";NA
"AACG";"ATA Creativity Global";"Consumer Defensive";"Education";"2,7";"China";1304972;"-0,09";"0.18";"-0.06";"5.30";"-0.72";"-0.48";NA
"AAGIY";"AIA Group Ltd";"Financial Services";"Insurance";"48,21";"Hong Kong";244673;"2,28";"1.40";"2.04";"1.04";"2.00";"1.92";NA
"AAGRY";"Astra Agro Lestari Tbk";"Consumer Defensive";"Consumer Packaged Goods";"2,63";"Indonesia";390;"0,2";"0.42";"0.38";"0.26";"0.04";"0.15";NA
"AAIC";"Arlington Asset Investment Corp";"Real Estate";"REITs";"3,78";"USA";197742;"0";"-1.79";"0.66";"-3.18";"0.31";"-2.00";NA
"AAL";"American Airlines Group Inc";"Industrials";"Transportation";"19,51";"USA";31831201;"-10,46";"4.65";"2.61";"3.03";"3.79";"-18.36";NA
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";"61,55";"Netherlands";1085;"2,17";"1.74";"2.19";"2.45";"2.26";"1.29";NA
"AAMC";"Altisource Asset Management Corp";"Financial Services";"Asset Management";"17,75";"us)";61166;"65,97";"-2.93";"-4.57";"-6.88";"-1.77";"24.38";NA
"AAME";"Atlantic American Corp";"Financial Services";"Insurance";"3,87";"USA";89501;"0,74";"0.11";"0.20";"-0.05";"-0.04";"0.56";NA
"AANNF";"Aroundtown SA";"Real Estate";"Real Estate";"7,85";"Luxembourg";6117;"0,46";"0.92";"1.60";"1.70";"1.23";"0.60";NA
"AAOI";"Applied Optoelectronics Inc";"Technology";"Semiconductors";"7,28";"USA";485637;"-1,87";"1.76";"3.67";"-0.11";"-3.31";"-2.67";NA
"AAON";"AAON Inc";"Industrials";"Construction";"69,2";"USA";123136;"1,41";"1.00";"1.01";"0.80";"1.02";"1.49";NA
"AAP";"Advance Auto Parts Inc";"Consumer Cyclical";"Retail - Cyclical";"201,14";"USA";574298;"9,33";"6.20";"6.42";"5.73";"6.84";"7.14";NA
"AASZF";"Atlantic Sapphire ASA";"Consumer Defensive";"Consumer Packaged Goods";"5,5";"USA";6835;"-0,85";NA;"-0.28";"-0.20";"-0.19";"-0.74";NA
"AAT";"American Assets Trust Inc";"Real Estate";"REITs";"39,4";"USA";257332;"0,3";"0.72";"0.62";"0.42";"0.84";"0.46";NA
"AATC";"Autoscope Technologies Corp";"Technology";"Hardware";"7,78";"USA";58471;"0,54";"0.14";"0.40";"0.36";"1.33";"0.20";NA
"AAUKF";"Anglo American PLC";"Basic Materials";"Metals & Mining";"42,55";"UK";2459;"5,42";"1.23";"2.45";"2.74";"2.76";"1.67";NA
"AAVMY";"ABN AMRO Bank NV";"Financial Services";"Banks";"13,67";"Netherlands";16648;"0,66";"1.97";"3.42";"2.67";"2.29";"-0.20";NA
"AAVVF";"Advantage Energy Ltd";"Energy";"Oil & Gas";"4,1";"Canada";24047;"0,05";"-0.07";"0.39";"0.05";"-0.10";"-1.18";NA
"AAVXF";"Abivax SA";"Healthcare";"Biotechnology";"35,27";"France";841;"-3,3";"-1.55";"-1.34";"-1.76";"-2.79";"-1.89";NA
"AAWW";"Atlas Air Worldwide Holdings Inc";"Industrials";"Transportation";"73,48";"USA";350664;"15,51";"1.65";"8.64";"5.22";"-11.35";"13.50";NA
"AB";"AllianceBernstein Holding LP";"Financial Services";"Asset Management";"52,19";"USA";247785;"3,39";"2.23";"2.19";"2.50";"2.49";"2.88";NA
"ABANF";"Automated Bank Services Ltd";"Technology";"Software";"5,61";"Israel";1615;"0,3";"1.09";"0.14";"0.11";"0.23";"0.21";NA
"ABB";"ABB Ltd";"Industrials";"Industrial Products";"37,46";"Switzerland";1209059;"2,72";"0.88";"1.03";"1.02";"0.67";"2.43";NA
"ABBV";"AbbVie Inc";"Healthcare";"Drug Manufacturers";"120,57";"USA";7235133;"3,71";"3.63";"3.30";"3.66";"5.28";"2.72";NA
"ABC";"AmerisourceBergen Corp";"Healthcare";"Medical Distribution";"119,52";"USA";812622;"-18,43";"6.32";"1.64";"7.53";"4.04";"-16.65";NA
"ABCB";"Ameris Bancorp";"Financial Services";"Banks";"48,69";"USA";357426;"6,09";"2.08";"1.98";"2.80";"2.75";"3.77";NA
"ABEO";"Abeona Therapeutics Inc";"Healthcare";"Biotechnology";"1,28";"USA";909744;"-0,58";"-0.64";"-0.66";"-1.19";"-1.51";"-0.91";NA
"ABEV";"Ambev SA";"Consumer Defensive";"Beverages - Alcoholic";"3,27";"Brazil";24619048;"0,18";"0.24";"0.14";"0.18";"0.18";"0.14";NA
"ABG";"Asbury Automotive Group Inc";"Consumer Cyclical";"Vehicles & Parts";"185,62";"USA";148555;"22,13";"7.40";"6.62";"8.28";"9.55";"13.18";NA
