"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"A";"Agilent Technologies Inc";"Healthcare";"Medical Diagnostics & Research";176,73;"USA";1669991;3,2;"1.40";"2.10";"0.97";"3.37";"2.30";NA;"8.00";"8.00";"7.00";"6.00";"5.00";7;NA;8,54;10,22;12,05;12,72;10,85;16;NA
"AA";"Alcoa Corp";"Basic Materials";"Metals & Mining";44,05;"USA";7625793;2,28;"-2.19";"1.49";"1.33";"-6.07";"-0.91";NA;"3.00";"8.00";"6.00";"3.00";"4.00";6;NA;0,87;15,6;18,23;6,05;2,93;9,83;NA
"AACAF";"AAC Technologies Holdings Inc";"Technology";"Hardware";5,42;"Hong Kong";3900;0,19;"0.47";"0.66";"0.45";"0.26";"0.19";NA;"8.00";"5.00";"5.00";"6.00";"5.00";5;NA;67,56;36,92;19,57;9,96;3,99;5,28;NA
"AAGIY";"AIA Group Ltd";"Financial Services";"Insurance";48,21;"Hong Kong";244673;2,28;"1.40";"2.04";"1.04";"2.00";"1.92";NA;"7.00";"6.00";"1.00";"5.00";"3.00";3;NA;33,28;40,27;NA;25,9;25,31;22,51;NA
"AAGRY";"Astra Agro Lestari Tbk";"Consumer Defensive";"Consumer Packaged Goods";2,63;"Indonesia";390;0,2;"0.42";"0.38";"0.26";"0.04";"0.15";NA;"7.00";"6.00";"5.00";"5.00";"9.00";8;NA;23,24;31,81;10,22;2,86;4,71;10,61;NA
"AAL";"American Airlines Group Inc";"Industrials";"Transportation";19,51;"USA";31831201;-10,46;"4.65";"2.61";"3.03";"3.79";"-18.36";NA;"5.00";"6.00";"6.00";"7.00";"2.00";2;NA;5,82;4,57;3,26;3,38;NA;0;NA
"AALBF";"Aalberts NV";"Industrials";"Industrial Products";61,55;"Netherlands";1085;2,17;"1.74";"2.19";"2.45";"2.26";"1.29";NA;"7.00";"8.00";"8.00";"4.00";"5.00";5;NA;13,61;15,32;16,78;12,73;11,56;29,45;NA
"AAME";"Atlantic American Corp";"Financial Services";"Insurance";3,87;"USA";89501;0,74;"0.11";"0.20";"-0.05";"-0.04";"0.56";NA;"5.00";"8.00";"4.00";"5.00";"6.00";7;NA;3,26;4,11;0,52;0,81;10,63;11,82;NA
"AANNF";"Aroundtown SA";"Real Estate";"Real Estate";7,85;"Luxembourg";6117;0,46;"0.92";"1.60";"1.70";"1.23";"0.60";NA;"3.00";"5.00";"4.00";"5.00";"5.00";5;NA;4,02;5,24;4,41;4,51;3,42;3,71;NA
"AAP";"Advance Auto Parts Inc";"Consumer Cyclical";"Retail - Cyclical";201,14;"USA";574298;9,33;"6.20";"6.42";"5.73";"6.84";"7.14";NA;"5.00";"6.00";"8.00";"5.00";"6.00";8;NA;13,15;9,7;10,68;16,97;15,99;29,49;NA
